City,Sex,Strata,Age,Occupation,Education,Civic_Status,Home_Structure,Income_Level,TD1,TD2,TD3,TD4,Aut1,Aut2,Aut3,Aut4,Aut5,Aut6,Aut7
4,1,3,35,6,3,5,6,3,10,1,10,10,1,1,1,1,1,1,1
3,2,2,24,6,3,1,2,2,7,7,9,10,1,1,1,10,5,1,1
3,1,3,36,6,3,2,5,3,10,3,10,10,1,1,10,1,1,1,10
1,1,2,18,6,3,1,2,1,7,10,10,10,2,2,3,2,2,2,2
6,2,1,22,6,3,1,3,2,6,1,7,8,1,1,1,1,1,1,1
6,2,3,44,8,2,5,6,2,1,6,3,1,10,10,10,10,10,10,10
6,1,3,23,3,4,1,2,2,9,10,10,10,1,1,1,1,1,1,1
4,1,1,35,8,2,2,6,3,5,6,5,5,1,1,1,1,1,1,1
6,2,2,29,6,4,5,6,3,9,9,8,7,1,1,1,1,1,1,1
5,1,3,23,3,4,1,8,1,10,8,10,10,10,10,8,10,10,7,9
1,1,2,20,1,3,1,8,2,10,7,1,10,10,7,1,1,10,1,8
3,2,2,22,6,3,1,4,2,8,3,7,6,1,1,1,1,1,1,1
5,2,3,18,2,4,1,8,1,9,10,1,6,1,7,7,3,10,3,7
4,1,1,27,4,3,2,6,1,10,1,7,9,2,9,10,3,5,7,8
2,1,3,24,3,4,1,8,1,9,9,10,10,8,7,6,1,9,7,7
4,2,3,27,6,3,2,5,3,8,2,5,7,3,3,3,3,3,2,3
4,2,2,22,3,5,1,2,3,10,10,10,10,10,1,1,6,10,10,5
2,1,2,24,3,4,1,2,1,10,10,10,10,5,5,1,1,5,5,5
6,2,2,38,8,4,2,7,2,9,8,2,10,1,5,1,1,5,1,1
3,1,3,43,7,3,5,5,3,6,7,6,7,1,1,1,1,1,1,1
3,2,3,38,6,3,5,6,2,5,6,3,4,7,5,5,7,5,5,7
3,2,3,26,6,3,5,6,2,6,5,5,5,5,6,3,2,2,5,2
7,1,2,20,6,3,1,2,3,6,9,9,9,1,1,1,1,1,1,1
2,1,1,31,4,2,1,4,2,10,10,7,10,4,10,4,3,3,2,2
2,1,3,30,3,5,1,2,3,7,10,10,10,6,6,6,6,6,6,6
4,2,1,36,4,3,4,4,1,10,10,4,7,1,1,1,1,1,1,2
3,2,3,20,2,4,1,3,2,9,10,10,10,1,7,1,1,10,5,10
3,1,3,19,8,2,1,2,2,9,10,10,10,7,7,7,7,7,7,7
4,2,2,30,4,3,5,6,2,3,8,5,5,4,3,4,2,5,1,3
4,2,2,25,6,5,5,7,2,10,1,10,10,5,10,6,5,5,1,10
3,2,3,21,2,4,1,2,2,10,5,10,10,9,10,1,5,10,4,7
2,1,3,43,4,3,1,2,1,9,4,9,9,1,8,1,3,6,3,6
3,1,3,24,3,4,1,1,2,10,1,10,10,10,9,4,1,10,8,10
6,2,3,38,6,5,5,5,2,6,5,5,6,4,5,4,5,3,5,4
3,1,3,20,4,2,5,5,2,10,3,10,9,1,1,1,1,1,1,1
3,2,3,40,6,3,1,4,2,8,8,7,9,2,1,1,1,2,2,1
6,1,2,40,6,3,2,6,3,6,4,6,6,3,4,3,3,3,3,3
2,1,3,36,6,3,2,6,3,10,5,6,10,3,3,5,1,8,1,8
4,1,2,30,7,3,2,6,1,9,10,9,10,6,4,5,5,5,5,5
5,1,3,31,6,5,5,6,3,10,10,1,10,10,10,10,10,10,10,10
7,1,1,18,2,4,1,2,1,8,9,5,7,6,9,1,2,6,4,7
7,2,2,30,8,3,1,4,2,10,8,2,4,1,1,1,1,1,1,1
7,2,2,20,2,4,1,2,1,7,10,4,7,6,5,1,4,5,1,4
3,2,2,42,7,3,4,4,2,3,5,3,5,1,1,1,1,1,1,1
7,2,3,20,2,3,1,7,1,6,3,6,4,10,10,10,6,10,10,8
3,1,3,44,6,2,2,6,2,7,6,7,7,7,7,7,5,7,6,7
3,2,2,28,6,4,2,5,3,7,8,2,9,1,3,1,1,2,4,3
3,1,2,31,3,4,2,5,3,5,10,9,6,7,9,8,7,8,7,7
3,1,3,20,6,3,5,6,2,5,1,5,10,5,5,5,6,5,1,5
3,2,3,21,3,3,1,8,2,6,2,5,10,5,6,5,5,5,6,6
8,1,3,26,2,5,1,2,1,8,3,10,4,4,8,2,7,8,5,7
2,1,2,19,8,2,1,8,2,8,10,8,7,5,9,10,8,7,4,8
3,1,3,25,3,4,1,2,2,7,10,5,10,10,1,6,10,10,1,10
1,2,2,25,1,3,5,6,3,6,5,6,7,1,1,1,1,1,1,1
4,1,2,22,3,3,1,2,1,7,7,8,8,7,7,7,5,7,7,7
3,2,3,23,8,4,2,6,2,4,2,6,8,7,5,5,5,5,8,2
2,1,2,20,3,3,1,2,2,5,8,7,6,8,3,9,8,5,5,7
3,1,3,27,6,5,2,7,2,10,7,8,10,1,1,1,1,1,1,1
4,1,2,30,6,3,5,6,2,9,10,10,10,10,10,10,10,9,10,10
3,2,2,19,8,2,1,8,2,7,2,5,10,2,2,2,2,1,2,2
3,1,3,23,2,4,1,2,2,10,1,10,10,10,10,10,10,10,10,10
2,1,2,21,2,4,1,2,2,10,10,7,10,10,1,10,10,10,1,10
2,1,2,38,6,2,5,7,3,10,10,8,10,10,10,10,4,8,5,7
4,1,1,20,2,4,1,2,1,7,8,6,10,8,4,5,8,8,5,5
3,1,3,36,6,3,5,5,3,8,10,10,10,1,1,1,1,1,1,1
1,1,1,25,2,4,1,2,1,5,8,6,6,1,3,1,1,3,1,3
4,1,1,19,2,2,1,2,1,5,5,5,5,5,7,6,6,6,6,5
4,1,1,23,2,4,1,2,2,6,3,6,7,7,6,3,5,3,3,3
7,2,2,25,4,3,1,8,1,7,10,6,10,3,4,1,7,4,1,7
7,2,2,21,2,4,1,3,2,10,10,10,10,10,10,10,10,10,10,10
3,1,3,44,8,3,5,6,1,1,1,8,4,1,1,1,1,1,1,1
3,1,3,19,2,4,1,8,2,10,7,10,10,7,7,8,7,8,8,7
8,1,2,29,4,5,1,2,1,10,2,5,3,5,4,2,5,3,3,5
6,1,2,37,4,3,1,8,1,8,7,8,7,7,7,7,7,8,8,7
5,2,2,30,3,3,1,3,2,10,3,10,10,1,10,1,1,10,1,8
5,1,2,24,8,3,1,2,2,7,8,8,7,3,4,1,3,1,2,3
5,2,2,30,1,2,1,4,1,4,9,6,6,1,1,1,1,1,1,1
5,1,2,29,6,3,1,2,3,5,5,5,7,5,9,2,5,2,1,5
5,1,2,21,3,4,1,8,2,10,9,9,9,8,5,1,2,9,3,6
8,1,3,48,9,3,2,6,3,9,9,9,9,9,9,1,9,9,8,8
8,1,3,43,6,2,5,6,2,5,8,8,8,1,1,1,1,1,1,1
8,2,2,29,3,4,5,6,3,8,6,6,10,10,7,5,2,10,5,5
8,1,3,61,9,5,1,2,2,10,10,1,10,1,1,1,1,1,1,1
7,1,3,39,8,3,5,5,3,10,10,10,10,5,5,5,1,5,1,1
6,1,2,45,6,2,5,6,2,10,2,10,5,5,5,5,5,5,5,5
8,2,3,24,6,2,1,4,2,5,10,10,10,4,10,10,4,4,2,4
5,2,2,44,9,6,1,2,3,10,1,5,10,10,10,10,10,10,10,10
5,1,2,36,9,2,1,2,2,5,2,10,7,7,10,1,2,5,1,3
5,2,2,33,8,2,2,6,2,10,10,8,8,5,5,5,5,5,3,5
1,1,1,34,1,2,5,6,3,10,10,5,5,1,1,1,1,1,1,1
8,1,3,35,6,5,5,7,2,10,1,10,10,1,1,1,1,1,1,1
8,1,2,22,6,2,1,2,2,5,10,10,10,1,1,1,1,1,1,1
8,1,3,31,3,4,1,8,3,10,10,7,10,10,10,1,3,10,1,3
5,1,2,24,8,2,1,8,1,10,10,8,8,5,5,1,5,8,3,3
3,1,2,23,6,3,1,2,2,10,9,7,10,6,3,3,3,5,3,5
2,1,1,20,6,2,5,1,1,1,1,10,10,1,1,1,1,1,1,1
6,1,3,25,8,2,5,6,3,10,10,10,10,3,6,2,3,6,2,4
4,1,3,54,7,3,2,6,2,9,2,9,10,7,9,1,2,3,9,9
5,1,2,24,4,2,5,5,1,10,4,10,10,3,4,6,7,5,7,5
3,1,2,28,8,3,5,5,2,7,5,8,7,8,7,1,1,5,1,1
4,1,2,27,4,2,5,7,1,10,7,7,10,10,8,10,5,10,5,7
4,1,3,32,6,3,5,6,2,9,5,5,9,5,6,4,8,7,2,3
3,1,2,44,8,3,1,8,3,7,9,9,8,5,7,7,4,7,6,7
4,1,2,31,6,2,5,7,2,5,2,10,7,1,2,1,1,1,5,2
3,1,2,44,6,4,2,4,3,7,10,5,5,1,6,1,1,1,4,3
3,1,3,32,8,4,5,6,3,10,10,10,10,7,10,10,8,10,10,8
8,2,2,29,4,3,5,2,1,3,5,7,5,5,5,5,5,5,5,5
1,1,1,25,4,3,1,1,2,7,7,9,10,5,5,5,5,5,5,5
2,1,1,19,2,2,1,8,1,9,5,7,8,2,2,2,2,2,3,2
6,1,2,30,8,3,2,7,1,3,7,8,7,3,2,3,3,5,3,4
3,1,2,29,3,5,1,2,2,8,10,7,8,8,8,7,8,7,7,8
1,1,1,40,6,2,5,6,2,9,8,6,4,2,7,4,2,2,2,2
7,1,2,42,6,2,5,6,3,8,9,7,7,6,6,6,6,6,6,6
4,1,1,28,7,3,5,6,2,5,5,5,5,9,9,9,9,9,9,9
4,1,3,37,8,3,1,2,3,10,1,6,10,1,1,1,1,1,1,1
2,1,1,22,6,3,5,5,2,1,1,10,8,1,1,1,1,1,1,1
5,1,3,44,7,3,5,6,1,5,5,7,7,5,5,1,1,5,1,1
7,1,2,39,8,5,1,8,2,7,10,5,7,1,1,1,1,1,1,1
6,1,2,47,8,2,2,5,1,10,10,10,10,10,10,1,1,10,1,10
2,1,1,25,6,3,2,6,2,10,1,5,10,10,1,1,1,10,1,10
6,1,2,28,7,2,1,2,2,10,10,10,10,2,3,2,2,1,3,2
5,1,2,18,2,4,1,2,1,9,10,9,6,8,1,4,4,1,1,8
6,1,3,26,2,2,1,8,1,10,3,7,10,10,10,10,1,10,5,10
2,1,1,19,2,3,1,2,1,1,1,10,10,1,1,1,1,1,1,1
5,1,2,26,8,2,5,5,3,8,1,7,9,6,7,5,5,3,5,5
2,1,1,18,4,2,1,1,1,10,1,5,10,1,1,1,1,1,1,1
1,1,3,25,6,3,5,2,2,5,5,3,4,6,6,5,5,6,6,5
1,1,3,25,8,5,1,2,3,10,10,10,9,5,1,5,6,5,5,5
7,1,2,40,8,6,4,4,2,9,3,8,9,8,8,6,7,7,8,8
8,2,3,19,2,4,1,2,1,10,3,10,10,6,8,3,7,7,3,7
8,1,1,23,2,3,1,8,1,4,4,5,4,6,5,4,4,5,6,4
8,1,2,20,8,3,1,1,2,8,9,9,9,8,8,8,8,8,8,8
8,1,2,31,6,3,1,2,3,1,1,10,10,1,1,1,1,1,1,1
